date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:03	2035/2035	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:24%20GMT	https://zcube.in/xadvices/js/jquery.scrollUp.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/jquery.scrollUp.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:04	4019/4019	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:23%20GMT	https://zcube.in/xadvices/js/jquery.meanmenu.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/jquery.meanmenu.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:05	9117/9117	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:28%20GMT	https://zcube.in/xadvices/js/parallax-scroll.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/parallax-scroll.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:06	20216/20216	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:23%20GMT	https://zcube.in/xadvices/js/jquery.magnific-popup.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/jquery.magnific-popup.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:07	1451/1451	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:21%20GMT	https://zcube.in/xadvices/js/element-in-view.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/element-in-view.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:08	11217/11217	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:27%20GMT	https://zcube.in/xadvices/js/main.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/main.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:11	458095/458095	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:54%20GMT	https://zcube.in/xadvices/img/features/about_img2.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/features/about_img2.png	(from https://zcube.in/xadvices/index-2.html)
22:03:13	7434/7434	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:48%20GMT	https://zcube.in/xadvices/img/features/awward-icon.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/features/awward-icon.png	(from https://zcube.in/xadvices/about.html)
22:03:14	288528/288528	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:37%20GMT	https://zcube.in/xadvices/js/vendor/jquery-3.6.0.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/vendor/jquery-3.6.0.min.js	(from https://zcube.in/xadvices/about.html)
22:03:14	653670/653670	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Apr%202021%2022:39:47%20GMT	https://zcube.in/xadvices/img/features/about_img.png	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/img/features/about_img.png	(from https://zcube.in/xadvices/about.html)
